Bezeichnung,Menge,kJ,kcal,E (g),F (g),KH (g)
Big Mac®,1 Burger,2 106,503,26,25,42
Big Tasty® Bacon,1 Burger,3 671,880,47,53,53
Cheeseburger,1 Burger,1 266,302,16,12,31
Chicken & Cheese Box,1 Portion,4 957,1 184,51,62,102
Chicken McNuggets®,6 Stück,1 109,265,17,13,20
Chicken McNuggets®,9 Stück,1 664,397,25,19,30
Chicken McNuggets®,20 Stück,3 734,893,56,46,62
Chickenburger,1 Burger,1 387,330,12,11,45
Doppel-Cheeseburger,1 Burger,1 849,442,26,23,32
Filet-o-Fish®,1 Burger,1 391,331,15,13,37
Grand Bacon TS,1 Burger,3 202,766,44,44,45
Grand BBQ Cheese,1 Burger,3 306,791,46,43,50
Hamburger,1 Burger,1 063,253,13,9,30
Hamburger Royal Käse,1 Burger,2 179,521,32,27,37
Hamburger Royal TS®,1 Burger,2 143,512,29,27,37
McChicken® Classic,1 Burger,1 775,402,20,17,46
McCrispy® Homestyle,1 Burger,2 835,676,38,31,61
McCrispy® Homestyle Spicy,1 Burger,2 601,572,3,25,62
McDouble® Chili Cheese,1 Burger,1 738,415,25,22,29
McRib®,1 Burger,1 998,477,25,22,43
McPlant®,1 Burger,1 734,414,21,19,38
McPlant® Nuggets,6 Stück,1 526,366,18,21,24
McPlant® Nuggets,9 Stück,2 290,549,27,31,37
McPlant® Nuggets,20 Stück,5 088,1 220,61,69,81
McWrap® Chicken Caesar,1 Wrap,2 347,541,25,32,43
McWrap Chicken Sweet-Chili,1 Wrap,1 975,450,19,18,56
5 Chili-Cheese Snackers,1 Portion,1 141,273,8,15,26
8 Chili-Cheese Snackers,1 Portion,1 826,436,12,24,41
Balsamico Dressing,30 ml,94,22,0,1,3
Barbecue Sauce,25 ml,204,48,0,0,11
Big Caesar Chicken Salad,1 Salat,1 744,308,24,26,22
Buttermilk Ranch Dip,25 ml,339,82,1,7,3
Caesar Dressing,50 ml,640,155,1,15,4
Chili Sauce,25 ml,300,71,0,0,17
Curry Sauce,25 ml,201,47,0,0,10
Dip Cocktail,25 ml,562,136,0,14,2
Ketchup,20 ml,121,29,0,0,6
Mayonnaise,20 ml,581,141,0,15,0
Netzkartoffeln,1 Portion,1 693,406,4,22,45
Pommes Frites groß,150 g,1 815,434,5,21,54
Pommes Frites klein,80 g,968,231,3,11,29
Pommes Frites mittel,114 g,1 379,330,4,16,41
Sour Cream-Schnittlauch Dip,25 ml,461,110,0,12,1
Senf Sauce,25 ml,244,59,1,3,6
Snack Salad Classic,1 Salat,72,17,1,0,2
Süßsauer Sauce,25 ml,216,51,0,0,12
Bio Apfeltüte,60 g,145,34,0,0,8
Frucht-Quatsch,80 g,172,41,0,1,8
Fruit Smoothie Mango-Ananas,1 Portion,638,149,2,1,33
Heiße Apfeltasche,1 Portion,955,228,2,12,28
Heiße Erdbeer-Creamcheese Tasche,1 Portion,1 045,250,3,13,29
McFlurry® Frozen Yogurt,1 Portion,828,197,6,6,30
McFlurry® Frozen Yogurt Bounty® Erdbeer-Sauce,1 Portion,1 592,378,7,12,59
McFlurry® Original,1 Portion,816,193,5,5,32
McFlurry® Original Oreo® Schoko-Sauce,1 Portion,1 817,432,8,14,68
McFlurry® Original Schokolinsen Karamell-Sauce,1 Portion,2 084,495,7,14,84
McFlurry® Original Schokolinsen Schoko-Sauce,1 Portion,2 056,489,8,16,76
McFlurry® Schoko pflanzlich,1 Portion,1 004,238,3,5,44
McMilchshake Erdbeer Schoko-Sauce,"0,25 l",1 348,320,7,8,55
McMilchshake Erdbeer Schoko-Sauce,"0,4 l",1 838,436,10,10,76
McMilchshake Schoko Karamell-Sauce,"0,25 l",1 427,338,6,6,64
McMilchshake Schoko Karamell-Sauce,"0,4 l",1 947,461,9,8,86
McSundae® Frozen Yogurt,1 Portion,662,158,5,5,24
McSundae® Original,1 Portion,667,158,4,4,26
McSundae® Original Karamell-Sauce,1 Portion,1 207,286,5,6,53
McSundae® Original Schoko-Sauce,1 Portion,1 200,285,6,8,46
McSundae® Schoko pflanzlich,1 Portion,803,191,2,4,35
Milchshake Erdbeergeschmack,"0,25 l",834,197,5,4,36
Milchshake Erdbeergeschmack,"0,4 l",1 335,316,8,6,58
Milchshake Schokogeschmack,"0,25 l",859,203,6,4,36
Milchshake Schokogeschmack,"0,4 l",1 374,325,9,6,57
Milchshake Vanillegeschmack,"0,25 l",828,196,5,4,36
Milchshake Vanillegeschmack,"0,4 l",1 325,313,8,6,57
Wahlzutat Bounty®,24 g,505,120,1,6,15
Wahlzutat Erdbeer-Sauce,30 g,258,61,0,0,15
Wahlzutat Karamell-Sauce,41 g,561,133,1,2,28
Wahlzutat Oreo®,24 g,480,114,1,5,16
Wahlzutat Schoko-Sauce,38 g,533,127,2,4,20
Wahlzutat Schokolinsen,36 g,721,172,2,7,25
Butter,10 g,306,74,0,8,0
Buttercroissant,1 Croissant,1 029,246,5,13,25
Café Grande,1 Portion,7,2,0,0,0
Café Regular,1 Portion,6,1,0,0,0
Café Small,1 Portion,5,1,0,0,0
Cappuccino Grande,1 Portion,340,82,4,4,6
Cappuccino Regular,1 Portion,272,65,3,4,5
Cappuccino Small,1 Portion,172,41,2,2,3
Earl Grey Tee Regular,1 Portion,0,0,0,0,0
Fresh Mint Tee Regular,1 Portion,0,0,0,0,0
Grüner Tee Regular,1 Portion,0,0,0,0,0
Heißes Kakaogetränk Grande,1 Portion,1 616,386,14,15,46
Heißes Kakaogetränk Small,1 Portion,683,163,6,6,21
Konfitüre Erdbeere,25 g,245,58,0,0,14
Latte Macchiato Grande,1 Portion,457,110,6,6,8
Latte Macchiato Regular,1 Portion,332,80,4,4,6
McMuffin® Bacon & Egg,1 Muffin,1 247,297,17,13,26
McMuffin® Fresh Chicken,1 Muffin,1 488,355,16,16,36
McToast® Ham & Cheese,1 Muffin,1 068,253,11,7,36
nutella®,15 g,334,80,1,5,9
Rührei Bacon,1 Portion,1 861,444,25,24,31
5 Chili-Cheese Snackers,1 Portion,1 141,273,8,15,26
8 Chili-Cheese Snackers,1 Portion,1 826,436,12,24,41
Chicken & Cheese Box,1 Portion,4 957,1 184,51,62,102
Cold Brew Café,"0,4 l",72,18,1,2,0
Cookie Dough Donut,1 Portion,1 477,354,5,21,36
Grand Bacon TS,1 Burger,3 202,766,44,44,45
Grand BBQ Cheese,1 Burger,3 306,791,46,43,50
Heiße Erdbeer-Creamcheese Tasche,1 Portion,1 045,250,3,13,29
Iced Cofffee Shake Caramel,"0,4 l",1 777,421,10,12,68
McCrispy® Homestyle,1 Burger,2 835,676,38,31,61
McCrispy® Homestyle Spicy,1 Burger,2 601,572,3,25,62
McFlurry® Frozen Yogurt Bounty® Erdbeer-Sauce,1 Portion,1 592,378,7,12,59
McPlant®,1 Burger,1 734,414,21,19,38
McPlant® Nuggets,6 Stück,1 526,366,18,21,24
McPlant® Nuggets,9 Stück,2 290,549,27,31,37
McPlant® Nuggets,20 Stück,5 088,1 220,61,69,81
McSundae® Frozen Yogurt,1 Portion,662,158,5,5,24
McSundae® Schoko pflanzlich,1 Portion,803,191,2,4,35
McWrap Chicken Sweet-Chili,1 Wrap,1 975,450,19,18,56
Netzkartoffeln,1 Portion,1 693,406,4,22,45
N.Y. Style Cheesecake mit OREO®-Topping,1 Portion,2 968,710,11,39,78
